image,class,xmin,ymin,xmax,ymax
images\Missing_hole\01_missing_hole_15.jpg,missing_hole,2077,514,2135,572
images\Missing_hole\01_missing_hole_16.jpg,missing_hole,1499,729,1559,794
images\Missing_hole\01_missing_hole_16.jpg,missing_hole,644,720,702,783
images\Missing_hole\01_missing_hole_16.jpg,missing_hole,2517,698,2584,763
images\Missing_hole\01_missing_hole_17.jpg,missing_hole,917,292,984,369
images\Missing_hole\01_missing_hole_17.jpg,missing_hole,480,1123,539,1191
images\Missing_hole\01_missing_hole_17.jpg,missing_hole,1725,1083,1790,1147
images\Missing_hole\01_missing_hole_18.jpg,missing_hole,2188,914,2250,980
images\Missing_hole\01_missing_hole_18.jpg,missing_hole,1160,1200,1220,1254
images\Missing_hole\01_missing_hole_18.jpg,missing_hole,1731,1151,1791,1203
images\Missing_hole\01_missing_hole_19.jpg,missing_hole,1395,738,1450,803
images\Missing_hole\01_missing_hole_19.jpg,missing_hole,339,752,388,814
images\Missing_hole\01_missing_hole_19.jpg,missing_hole,168,572,228,638
images\Missing_hole\01_missing_hole_20.jpg,missing_hole,2635,1102,2695,1160
images\Missing_hole\01_missing_hole_20.jpg,missing_hole,228,574,275,629
images\Missing_hole\01_missing_hole_20.jpg,missing_hole,2528,227,2588,302
images\Missing_hole\04_missing_hole_01.jpg,missing_hole,2139,753,2189,824
images\Missing_hole\04_missing_hole_01.jpg,missing_hole,2117,1590,2171,1646
images\Missing_hole\04_missing_hole_01.jpg,missing_hole,1401,955,1464,1033
images\Missing_hole\04_missing_hole_02.jpg,missing_hole,1877,757,1930,815
images\Missing_hole\04_missing_hole_02.jpg,missing_hole,997,759,1055,817
images\Missing_hole\04_missing_hole_02.jpg,missing_hole,1228,1771,1284,1841
images\Missing_hole\04_missing_hole_03.jpg,missing_hole,2474,1581,2547,1650
images\Missing_hole\04_missing_hole_03.jpg,missing_hole,1279,1295,1351,1381
images\Missing_hole\04_missing_hole_03.jpg,missing_hole,711,1626,775,1713
images\Missing_hole\04_missing_hole_04.jpg,missing_hole,2113,1473,2186,1537
images\Missing_hole\04_missing_hole_04.jpg,missing_hole,2570,1366,2646,1457
images\Missing_hole\04_missing_hole_04.jpg,missing_hole,2564,946,2621,1019
images\Missing_hole\04_missing_hole_05.jpg,missing_hole,1344,1093,1395,1151
images\Missing_hole\04_missing_hole_05.jpg,missing_hole,1817,859,1882,922
images\Missing_hole\04_missing_hole_05.jpg,missing_hole,1888,357,1946,417
images\Missing_hole\04_missing_hole_06.jpg,missing_hole,1173,621,1231,695
images\Missing_hole\04_missing_hole_06.jpg,missing_hole,1461,377,1519,442
images\Missing_hole\04_missing_hole_06.jpg,missing_hole,2171,341,2239,419
images\Missing_hole\04_missing_hole_07.jpg,missing_hole,1744,964,1811,1031
images\Missing_hole\04_missing_hole_07.jpg,missing_hole,1939,346,2011,419
images\Missing_hole\04_missing_hole_07.jpg,missing_hole,2617,339,2684,424
images\Missing_hole\04_missing_hole_08.jpg,missing_hole,1967,1177,2047,1253
images\Missing_hole\04_missing_hole_08.jpg,missing_hole,1344,1430,1402,1502
images\Missing_hole\04_missing_hole_08.jpg,missing_hole,1742,1428,1806,1504
images\Missing_hole\04_missing_hole_09.jpg,missing_hole,2488,1246,2581,1344
images\Missing_hole\04_missing_hole_09.jpg,missing_hole,1175,1308,1230,1381
images\Missing_hole\04_missing_hole_09.jpg,missing_hole,715,1404,768,1481
images\Missing_hole\04_missing_hole_10.jpg,missing_hole,1122,844,1166,904
images\Missing_hole\04_missing_hole_10.jpg,missing_hole,1288,375,1341,439
images\Missing_hole\04_missing_hole_10.jpg,missing_hole,662,504,715,566
images\Missing_hole\04_missing_hole_11.jpg,missing_hole,1284,953,1350,1028
images\Missing_hole\04_missing_hole_11.jpg,missing_hole,1399,82,1461,137
images\Missing_hole\04_missing_hole_11.jpg,missing_hole,1391,251,1464,306
images\Missing_hole\04_missing_hole_12.jpg,missing_hole,1650,750,1721,826
images\Missing_hole\04_missing_hole_12.jpg,missing_hole,326,802,402,864
images\Missing_hole\04_missing_hole_12.jpg,missing_hole,177,1144,250,1213
images\Missing_hole\04_missing_hole_13.jpg,missing_hole,711,1922,773,1986
images\Missing_hole\04_missing_hole_13.jpg,missing_hole,659,1410,713,1473
images\Missing_hole\04_missing_hole_13.jpg,missing_hole,177,453,255,524
images\Missing_hole\04_missing_hole_14.jpg,missing_hole,1121,1924,1173,1988
images\Missing_hole\04_missing_hole_14.jpg,missing_hole,891,1404,944,1475
images\Missing_hole\04_missing_hole_14.jpg,missing_hole,337,1142,393,1208
images\Missing_hole\04_missing_hole_15.jpg,missing_hole,1286,1541,1348,1597
images\Missing_hole\04_missing_hole_15.jpg,missing_hole,1688,1653,1748,1715
images\Missing_hole\04_missing_hole_15.jpg,missing_hole,657,957,715,1039
images\Missing_hole\04_missing_hole_16.jpg,missing_hole,1177,762,1230,815
images\Missing_hole\04_missing_hole_16.jpg,missing_hole,1231,1537,1288,1599
images\Missing_hole\04_missing_hole_16.jpg,missing_hole,830,502,886,566
images\Missing_hole\04_missing_hole_17.jpg,missing_hole,1348,1304,1401,1373
images\Missing_hole\04_missing_hole_17.jpg,missing_hole,651,1410,715,1468
images\Missing_hole\04_missing_hole_17.jpg,missing_hole,1515,1655,1575,1715
images\Missing_hole\04_missing_hole_18.jpg,missing_hole,1342,1431,1401,1502
images\Missing_hole\04_missing_hole_18.jpg,missing_hole,882,957,944,1028
images\Missing_hole\04_missing_hole_18.jpg,missing_hole,1284,1777,1344,1844
images\Missing_hole\04_missing_hole_19.jpg,missing_hole,1288,1535,1341,1601
images\Missing_hole\04_missing_hole_19.jpg,missing_hole,1517,1648,1571,1715
images\Missing_hole\04_missing_hole_19.jpg,missing_hole,2110,1591,2173,1650
images\Missing_hole\04_missing_hole_20.jpg,missing_hole,1635,1430,1688,1502
images\Missing_hole\04_missing_hole_20.jpg,missing_hole,1053,1410,1106,1471
images\Missing_hole\04_missing_hole_20.jpg,missing_hole,2110,1471,2177,1537
images\Missing_hole\05_missing_hole_01.jpg,missing_hole,1103,567,1174,623
images\Missing_hole\05_missing_hole_01.jpg,missing_hole,1520,965,1569,1026
images\Missing_hole\05_missing_hole_01.jpg,missing_hole,1337,1660,1387,1715
images\Missing_hole\05_missing_hole_02.jpg,missing_hole,1931,546,1994,612
images\Missing_hole\05_missing_hole_02.jpg,missing_hole,1836,1092,1886,1149
images\Missing_hole\05_missing_hole_02.jpg,missing_hole,1058,370,1114,429
images\Missing_hole\05_missing_hole_03.jpg,missing_hole,1118,243,1179,309
images\Missing_hole\05_missing_hole_03.jpg,missing_hole,2050,820,2089,874
images\Missing_hole\05_missing_hole_03.jpg,missing_hole,1102,1023,1175,1079
images\Missing_hole\05_missing_hole_03.jpg,missing_hole,220,737,286,798
images\Missing_hole\05_missing_hole_03.jpg,missing_hole,1450,1318,1514,1376
images\Missing_hole\05_missing_hole_04.jpg,missing_hole,1102,624,1170,685
images\Missing_hole\05_missing_hole_04.jpg,missing_hole,375,1018,445,1088
images\Missing_hole\05_missing_hole_04.jpg,missing_hole,909,1767,977,1829
images\Missing_hole\05_missing_hole_04.jpg,missing_hole,1835,1096,1885,1149
images\Missing_hole\05_missing_hole_04.jpg,missing_hole,1450,796,1520,857
images\Missing_hole\05_missing_hole_05.jpg,missing_hole,1831,1270,1895,1323
images\Missing_hole\05_missing_hole_05.jpg,missing_hole,1450,1137,1511,1193
images\Missing_hole\05_missing_hole_05.jpg,missing_hole,1489,1788,1540,1857
images\Missing_hole\05_missing_hole_05.jpg,missing_hole,2031,1881,2094,1946
images\Missing_hole\05_missing_hole_05.jpg,missing_hole,2189,1585,2247,1645
images\Missing_hole\05_missing_hole_06.jpg,missing_hole,1670,1071,1724,1124
images\Missing_hole\05_missing_hole_06.jpg,missing_hole,1103,1479,1163,1543
images\Missing_hole\05_missing_hole_06.jpg,missing_hole,219,1020,281,1084
images\Missing_hole\05_missing_hole_06.jpg,missing_hole,1561,146,1625,206
images\Missing_hole\05_missing_hole_06.jpg,missing_hole,2274,1692,2325,1743
images\Missing_hole\05_missing_hole_07.jpg,missing_hole,1110,621,1163,678
images\Missing_hole\05_missing_hole_07.jpg,missing_hole,1374,352,1444,415
images\Missing_hole\05_missing_hole_07.jpg,missing_hole,1852,315,1917,387
images\Missing_hole\05_missing_hole_07.jpg,missing_hole,2028,187,2103,259
images\Missing_hole\05_missing_hole_07.jpg,missing_hole,1036,1249,1091,1315
images\Missing_hole\05_missing_hole_08.jpg,missing_hole,1722,1074,1777,1123
images\Missing_hole\05_missing_hole_08.jpg,missing_hole,1981,813,2041,873
images\Missing_hole\05_missing_hole_08.jpg,missing_hole,1539,1465,1603,1515
images\Missing_hole\05_missing_hole_08.jpg,missing_hole,2061,1265,2120,1323
images\Missing_hole\05_missing_hole_08.jpg,missing_hole,1652,798,1709,849
images\Missing_hole\05_missing_hole_09.jpg,missing_hole,1603,1792,1659,1849
images\Missing_hole\05_missing_hole_09.jpg,missing_hole,2302,1585,2364,1645
images\Missing_hole\05_missing_hole_09.jpg,missing_hole,1085,1803,1144,1860
images\Missing_hole\05_missing_hole_09.jpg,missing_hole,1309,1956,1380,2027
images\Missing_hole\05_missing_hole_09.jpg,missing_hole,223,1763,287,1834
images\Missing_hole\05_missing_hole_10.jpg,missing_hole,1905,1415,1963,1478
images\Missing_hole\05_missing_hole_10.jpg,missing_hole,1452,1428,1513,1482
images\Missing_hole\05_missing_hole_10.jpg,missing_hole,1103,1367,1169,1431
images\Missing_hole\05_missing_hole_10.jpg,missing_hole,367,217,441,281
images\Missing_hole\05_missing_hole_10.jpg,missing_hole,216,623,286,682
images\Missing_hole\06_missing_hole_01.jpg,missing_hole,1443,854,1494,902
images\Missing_hole\06_missing_hole_01.jpg,missing_hole,1332,1151,1382,1212
images\Missing_hole\06_missing_hole_01.jpg,missing_hole,1786,1374,1837,1427
images\Missing_hole\06_missing_hole_01.jpg,missing_hole,1062,1415,1127,1470
images\Missing_hole\06_missing_hole_01.jpg,missing_hole,584,1229,635,1275
images\Missing_hole\06_missing_hole_02.jpg,missing_hole,1615,973,1674,1036
images\Missing_hole\06_missing_hole_02.jpg,missing_hole,2104,1659,2181,1731
images\Missing_hole\06_missing_hole_02.jpg,missing_hole,2428,1317,2489,1380
images\Missing_hole\06_missing_hole_02.jpg,missing_hole,238,1674,318,1739
images\Missing_hole\06_missing_hole_02.jpg,missing_hole,1155,1814,1213,1871
images\Missing_hole\06_missing_hole_03.jpg,missing_hole,1528,395,1588,446
images\Missing_hole\06_missing_hole_03.jpg,missing_hole,710,768,799,841
images\Missing_hole\06_missing_hole_03.jpg,missing_hole,1093,976,1155,1044
images\Missing_hole\06_missing_hole_03.jpg,missing_hole,242,897,306,959
images\Missing_hole\06_missing_hole_03.jpg,missing_hole,603,203,652,247
images\Missing_hole\06_missing_hole_04.jpg,missing_hole,921,542,967,592
images\Missing_hole\06_missing_hole_04.jpg,missing_hole,725,924,788,976
images\Missing_hole\06_missing_hole_04.jpg,missing_hole,316,1485,381,1544
images\Missing_hole\06_missing_hole_04.jpg,missing_hole,1155,1473,1213,1529
images\Missing_hole\06_missing_hole_04.jpg,missing_hole,1350,1956,1401,2007
images\Missing_hole\06_missing_hole_05.jpg,missing_hole,1276,725,1345,788
images\Missing_hole\06_missing_hole_05.jpg,missing_hole,808,1156,864,1207
images\Missing_hole\06_missing_hole_05.jpg,missing_hole,1215,1154,1265,1210
images\Missing_hole\06_missing_hole_05.jpg,missing_hole,2213,1283,2274,1342
images\Missing_hole\06_missing_hole_05.jpg,missing_hole,1676,1815,1733,1878
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,806,541,860,590
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,2213,1375,2284,1439
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,588,1292,638,1349
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,1620,1322,1667,1383
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,238,897,311,961
images\Missing_hole\06_missing_hole_06.jpg,missing_hole,1067,1939,1132,2005
images\Missing_hole\06_missing_hole_07.jpg,missing_hole,1276,725,1342,781
images\Missing_hole\06_missing_hole_07.jpg,missing_hole,1159,1815,1218,1876
images\Missing_hole\06_missing_hole_07.jpg,missing_hole,2206,1285,2277,1342
images\Missing_hole\06_missing_hole_07.jpg,missing_hole,1154,1154,1211,1212
images\Missing_hole\06_missing_hole_07.jpg,missing_hole,1603,1149,1673,1217
images\Missing_hole\06_missing_hole_08.jpg,missing_hole,1442,1149,1498,1205
images\Missing_hole\06_missing_hole_08.jpg,missing_hole,1093,1149,1159,1212
images\Missing_hole\06_missing_hole_08.jpg,missing_hole,1010,849,1074,915
images\Missing_hole\06_missing_hole_08.jpg,missing_hole,857,197,913,253
images\Missing_hole\06_missing_hole_08.jpg,missing_hole,243,1164,315,1222
images\Missing_hole\06_missing_hole_09.jpg,missing_hole,1160,722,1232,783
images\Missing_hole\06_missing_hole_09.jpg,missing_hole,1735,615,1804,678
images\Missing_hole\06_missing_hole_09.jpg,missing_hole,1094,1149,1150,1203
images\Missing_hole\06_missing_hole_09.jpg,missing_hole,1665,1320,1732,1381
images\Missing_hole\06_missing_hole_09.jpg,missing_hole,2213,1500,2276,1561
images\Missing_hole\06_missing_hole_10.jpg,missing_hole,1280,723,1342,790
images\Missing_hole\06_missing_hole_10.jpg,missing_hole,840,683,904,742
images\Missing_hole\06_missing_hole_10.jpg,missing_hole,1093,978,1157,1044
images\Missing_hole\06_missing_hole_10.jpg,missing_hole,1043,1471,1098,1532
images\Missing_hole\06_missing_hole_10.jpg,missing_hole,2184,2046,2240,2103
images\Missing_hole\07_missing_hole_01.jpg,missing_hole,1244,727,1317,807
images\Missing_hole\07_missing_hole_01.jpg,missing_hole,1692,1034,1763,1113
images\Missing_hole\07_missing_hole_01.jpg,missing_hole,2170,1029,2261,1127
images\Missing_hole\07_missing_hole_01.jpg,missing_hole,2441,777,2537,855
images\Missing_hole\07_missing_hole_01.jpg,missing_hole,570,301,649,386
images\Missing_hole\07_missing_hole_02.jpg,missing_hole,1118,200,1191,265
images\Missing_hole\07_missing_hole_02.jpg,missing_hole,1703,338,1784,405
images\Missing_hole\07_missing_hole_02.jpg,missing_hole,1203,1032,1270,1119
images\Missing_hole\07_missing_hole_02.jpg,missing_hole,284,1070,403,1184
images\Missing_hole\07_missing_hole_02.jpg,missing_hole,1548,1446,1617,1548
images\Missing_hole\07_missing_hole_03.jpg,missing_hole,1687,517,1770,603
images\Missing_hole\07_missing_hole_03.jpg,missing_hole,1856,287,1940,357
images\Missing_hole\07_missing_hole_03.jpg,missing_hole,1089,755,1167,829
images\Missing_hole\07_missing_hole_03.jpg,missing_hole,846,1027,927,1117
images\Missing_hole\07_missing_hole_03.jpg,missing_hole,2106,1029,2180,1127
images\Missing_hole\07_missing_hole_04.jpg,missing_hole,2032,510,2111,601
images\Missing_hole\07_missing_hole_04.jpg,missing_hole,2680,351,2756,438
images\Missing_hole\07_missing_hole_04.jpg,missing_hole,2667,770,2758,863
images\Missing_hole\07_missing_hole_04.jpg,missing_hole,1539,1034,1629,1124
images\Missing_hole\07_missing_hole_04.jpg,missing_hole,920,1024,998,1119
images\Missing_hole\07_missing_hole_05.jpg,missing_hole,1305,513,1387,600
images\Missing_hole\07_missing_hole_05.jpg,missing_hole,875,758,953,831
images\Missing_hole\07_missing_hole_05.jpg,missing_hole,1241,722,1311,807
images\Missing_hole\07_missing_hole_05.jpg,missing_hole,565,299,653,390
images\Missing_hole\07_missing_hole_05.jpg,missing_hole,432,551,511,639
images\Missing_hole\07_missing_hole_06.jpg,missing_hole,951,294,1018,363
images\Missing_hole\07_missing_hole_06.jpg,missing_hole,1232,508,1317,598
images\Missing_hole\07_missing_hole_06.jpg,missing_hole,1696,329,1791,417
images\Missing_hole\07_missing_hole_06.jpg,missing_hole,1332,1027,1411,1127
images\Missing_hole\07_missing_hole_06.jpg,missing_hole,1537,1441,1630,1546
images\Missing_hole\07_missing_hole_07.jpg,missing_hole,423,300,517,389
images\Missing_hole\07_missing_hole_07.jpg,missing_hole,563,688,655,777
images\Missing_hole\07_missing_hole_07.jpg,missing_hole,137,1153,273,1269
images\Missing_hole\07_missing_hole_07.jpg,missing_hole,2110,726,2187,813
images\Missing_hole\07_missing_hole_07.jpg,missing_hole,1851,358,1939,455
images\Missing_hole\07_missing_hole_08.jpg,missing_hole,1237,717,1320,808
images\Missing_hole\07_missing_hole_08.jpg,missing_hole,949,758,1022,829
images\Missing_hole\07_missing_hole_08.jpg,missing_hole,1339,1031,1417,1117
images\Missing_hole\07_missing_hole_08.jpg,missing_hole,2034,515,2113,601
images\Missing_hole\07_missing_hole_08.jpg,missing_hole,2451,357,2527,439
images\Missing_hole\07_missing_hole_09.jpg,missing_hole,1642,434,1727,508
images\Missing_hole\07_missing_hole_09.jpg,missing_hole,851,1024,927,1112
images\Missing_hole\07_missing_hole_09.jpg,missing_hole,1130,1029,1205,1117
images\Missing_hole\07_missing_hole_09.jpg,missing_hole,2172,1446,2255,1544
images\Missing_hole\07_missing_hole_09.jpg,missing_hole,1403,1446,1486,1536
images\Missing_hole\07_missing_hole_10.jpg,missing_hole,2048,291,2134,374
images\Missing_hole\07_missing_hole_10.jpg,missing_hole,2046,736,2113,791
images\Missing_hole\07_missing_hole_10.jpg,missing_hole,1377,519,1456,594
images\Missing_hole\07_missing_hole_10.jpg,missing_hole,737,553,844,641
images\Missing_hole\07_missing_hole_10.jpg,missing_hole,423,544,513,638
images\Missing_hole\08_missing_hole_01.jpg,missing_hole,2325,1193,2378,1252
images\Missing_hole\08_missing_hole_01.jpg,missing_hole,1996,1603,2061,1670
images\Missing_hole\08_missing_hole_01.jpg,missing_hole,1169,1734,1233,1805
images\Missing_hole\08_missing_hole_01.jpg,missing_hole,1245,746,1310,808
images\Missing_hole\08_missing_hole_01.jpg,missing_hole,546,1441,610,1510
images\Missing_hole\08_missing_hole_02.jpg,missing_hole,2133,944,2197,1008
images\Missing_hole\08_missing_hole_02.jpg,missing_hole,2319,1328,2378,1392
images\Missing_hole\08_missing_hole_02.jpg,missing_hole,964,747,1028,805
images\Missing_hole\08_missing_hole_02.jpg,missing_hole,1823,1561,1891,1631
images\Missing_hole\08_missing_hole_02.jpg,missing_hole,1035,1441,1100,1515
images\Missing_hole\08_missing_hole_03.jpg,missing_hole,2459,1156,2523,1223
images\Missing_hole\08_missing_hole_03.jpg,missing_hole,819,1438,894,1525
images\Missing_hole\08_missing_hole_03.jpg,missing_hole,682,1731,748,1797
images\Missing_hole\08_missing_hole_03.jpg,missing_hole,1381,1738,1450,1798
images\Missing_hole\08_missing_hole_03.jpg,missing_hole,1382,1444,1440,1510
images\Missing_hole\08_missing_hole_04.jpg,missing_hole,1037,1036,1099,1088
images\Missing_hole\08_missing_hole_04.jpg,missing_hole,1730,1039,1796,1098
images\Missing_hole\08_missing_hole_04.jpg,missing_hole,378,467,441,531
images\Missing_hole\08_missing_hole_04.jpg,missing_hole,155,977,212,1039
images\Missing_hole\08_missing_hole_05.jpg,missing_hole,1176,1444,1241,1516
images\Missing_hole\08_missing_hole_05.jpg,missing_hole,966,741,1037,813
images\Missing_hole\08_missing_hole_05.jpg,missing_hole,159,982,214,1031
images\Missing_hole\08_missing_hole_05.jpg,missing_hole,2002,405,2064,462
images\Missing_hole\08_missing_hole_05.jpg,missing_hole,238,634,304,692
images\Missing_hole\08_missing_hole_06.jpg,missing_hole,1387,1030,1448,1097
images\Missing_hole\08_missing_hole_06.jpg,missing_hole,2004,1608,2061,1666
images\Missing_hole\08_missing_hole_06.jpg,missing_hole,1100,1451,1169,1513
images\Missing_hole\08_missing_hole_06.jpg,missing_hole,1878,751,1937,810
images\Missing_hole\08_missing_hole_06.jpg,missing_hole,1727,2000,1792,2067
images\Missing_hole\08_missing_hole_07.jpg,missing_hole,1876,1036,1941,1098
images\Missing_hole\08_missing_hole_07.jpg,missing_hole,2128,941,2200,1020
images\Missing_hole\08_missing_hole_07.jpg,missing_hole,368,1931,438,2002
images\Missing_hole\08_missing_hole_07.jpg,missing_hole,145,1118,220,1187
images\Missing_hole\08_missing_hole_07.jpg,missing_hole,546,739,614,811
images\Missing_hole\08_missing_hole_08.jpg,missing_hole,1304,1444,1381,1518
images\Missing_hole\08_missing_hole_08.jpg,missing_hole,2312,1051,2384,1116
images\Missing_hole\08_missing_hole_08.jpg,missing_hole,2609,1220,2668,1275
images\Missing_hole\08_missing_hole_08.jpg,missing_hole,2123,1425,2192,1497
images\Missing_hole\08_missing_hole_08.jpg,missing_hole,617,744,681,805
images\Missing_hole\08_missing_hole_09.jpg,missing_hole,966,746,1030,806
images\Missing_hole\08_missing_hole_09.jpg,missing_hole,823,1034,889,1098
images\Missing_hole\08_missing_hole_09.jpg,missing_hole,1658,1449,1725,1520
images\Missing_hole\08_missing_hole_09.jpg,missing_hole,1997,1606,2061,1664
images\Missing_hole\08_missing_hole_09.jpg,missing_hole,1720,544,1786,605
images\Missing_hole\08_missing_hole_10.jpg,missing_hole,1876,1036,1938,1092
images\Missing_hole\08_missing_hole_10.jpg,missing_hole,822,1444,886,1513
images\Missing_hole\08_missing_hole_10.jpg,missing_hole,238,633,304,687
images\Missing_hole\08_missing_hole_10.jpg,missing_hole,2291,1639,2345,1702
images\Missing_hole\08_missing_hole_10.jpg,missing_hole,1948,1382,1989,1423
images\Missing_hole\09_missing_hole_01.jpg,missing_hole,2025,499,2086,564
images\Missing_hole\09_missing_hole_01.jpg,missing_hole,2336,987,2399,1043
images\Missing_hole\09_missing_hole_01.jpg,missing_hole,2231,1877,2307,1945
images\Missing_hole\09_missing_hole_01.jpg,missing_hole,1186,1700,1240,1753
images\Missing_hole\09_missing_hole_01.jpg,missing_hole,1122,1059,1187,1122
images\Missing_hole\09_missing_hole_02.jpg,missing_hole,777,640,836,704
images\Missing_hole\09_missing_hole_02.jpg,missing_hole,1195,643,1258,708
images\Missing_hole\09_missing_hole_02.jpg,missing_hole,387,1446,453,1508
images\Missing_hole\09_missing_hole_02.jpg,missing_hole,2467,1551,2536,1622
images\Missing_hole\09_missing_hole_02.jpg,missing_hole,912,353,981,413
images\Missing_hole\09_missing_hole_03.jpg,missing_hole,1543,358,1612,422
images\Missing_hole\09_missing_hole_03.jpg,missing_hole,1897,646,1961,720
images\Missing_hole\09_missing_hole_03.jpg,missing_hole,563,1058,630,1118
images\Missing_hole\09_missing_hole_03.jpg,missing_hole,199,638,276,704
images\Missing_hole\09_missing_hole_03.jpg,missing_hole,1833,97,1900,158
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,1120,356,1194,413
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,567,1058,625,1118
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,845,1340,904,1408
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,2148,1154,2212,1223
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,2151,674,2215,740
images\Missing_hole\09_missing_hole_04.jpg,missing_hole,1328,1059,1395,1125
images\Missing_hole\09_missing_hole_05.jpg,missing_hole,1264,645,1325,697
images\Missing_hole\09_missing_hole_05.jpg,missing_hole,202,710,266,768
images\Missing_hole\09_missing_hole_05.jpg,missing_hole,2625,754,2689,818
images\Missing_hole\09_missing_hole_05.jpg,missing_hole,2025,504,2079,556
images\Missing_hole\09_missing_hole_05.jpg,missing_hole,1733,1556,1790,1612
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,1413,648,1463,699
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,1712,540,1772,599
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,2335,771,2413,838
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,1182,1545,1243,1605
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,561,1059,631,1120
images\Missing_hole\09_missing_hole_06.jpg,missing_hole,256,1449,315,1505
images\Missing_hole\09_missing_hole_07.jpg,missing_hole,200,572,266,627
images\Missing_hole\09_missing_hole_07.jpg,missing_hole,1474,1059,1531,1122
images\Missing_hole\09_missing_hole_07.jpg,missing_hole,2472,881,2543,941
images\Missing_hole\09_missing_hole_07.jpg,missing_hole,1610,643,1677,713
